medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013003254,2013003250,VTS,5,,2013-01-01 04:58:00,2013-01-01 04:58:00,1,0,.00,-73.991852,40.695492,0,0
2013003701,2013010560,VTS,1,,2013-01-01 05:03:00,2013-01-01 05:05:00,1,120,.82,-73.942429,40.806232,-73.945114,40.802597
2013001173,2013011649,VTS,1,,2013-01-01 05:07:00,2013-01-01 05:30:00,1,1380,8.19,-73.986732,40.761219,-73.856262,40.727825
2013001704,2013001701,CMT,1,N,2013-01-01 05:15:11,2013-01-01 05:28:03,1,771,4.60,-73.974815,40.749119,-73.920464,40.770695
2013009783,2013009782,VTS,1,,2013-01-01 05:18:00,2013-01-01 05:22:00,1,240,1.89,-74.003014,40.723171,-73.992073,40.743797
2013000372,2013000372,CMT,1,N,2013-01-01 05:26:22,2013-01-01 05:38:13,1,710,4.50,-73.99308,40.719776,-73.954308,40.730453
2013002696,2013002693,CMT,1,N,2013-01-01 05:32:15,2013-01-01 05:55:42,1,1406,6.00,-73.987465,40.747883,-73.90863,40.762253
2013007337,2013012172,VTS,2,,2013-01-01 05:34:00,2013-01-01 05:59:00,4,1500,17.01,-73.776733,40.645447,-73.960571,40.7616
2013004384,2013011000,CMT,1,N,2013-01-01 05:40:42,2013-01-01 05:43:35,2,173,.50,-73.973671,40.794689,-73.97364,40.789417
2013006492,2013012274,CMT,1,N,2013-01-01 05:46:10,2013-01-01 06:11:20,2,1509,7.10,-73.991447,40.749809,-73.950073,40.676125
2013000022,2013011924,VTS,1,,2013-01-01 05:52:00,2013-01-01 05:56:00,1,240,.89,-73.98317,40.734718,-73.994225,40.732197
2013000347,2013012737,CMT,1,N,2013-01-01 06:02:22,2013-01-01 06:24:09,1,1307,7.30,-73.949875,40.776478,-73.872002,40.760422
2013003403,2013003399,VTS,1,,2013-01-01 06:09:00,2013-01-01 06:19:00,1,600,3.77,-73.967186,40.763657,-73.949051,40.763008
2013008917,2013010827,CMT,1,N,2013-01-01 06:14:35,2013-01-01 06:27:51,3,795,3.50,-73.974731,40.79105,-73.935562,40.821358
2013006163,2013006159,VTS,1,,2013-01-01 06:22:00,2013-01-01 06:25:00,1,180,.97,-74.002457,40.739887,-73.992805,40.748596
2013002980,2013002977,VTS,1,,2013-01-01 06:29:00,2013-01-01 06:32:00,1,180,1.14,-73.985512,40.747211,-73.992203,40.735203
2013009177,2013009174,CMT,1,N,2013-01-01 06:35:41,2013-01-01 06:41:44,1,363,1.80,-74.003487,40.732643,-73.991135,40.750221
2013004622,2013004619,CMT,1,N,2013-01-01 06:44:18,2013-01-01 06:56:17,1,718,2.90,-73.995461,40.7169,-73.991043,40.749985
